do,yr,pfx,rgn,sfx,startDate,durationDays,hab_sfx
FALSE,2010,10_7_2010,fknms,10day_500buf-45km,10/7/2010,10,_500buf-45km
FALSE,2010,10_7_2010,fknms,30day_500buf-45km,10/7/2010,30,_500buf-45km
FALSE,2010,10_7_2010,fknms,50day_500buf-45km,10/7/2010,50,_500buf-45km
FALSE,2010,01_14_2010,fknms,10day_500buf-45km,1/14/2010,10,_500buf-45km
FALSE,2010,01_14_2010,fknms,30day_500buf-45km,1/14/2010,30,_500buf-45km
FALSE,2010,01_14_2010,fknms,50day_500buf-45km,1/14/2010,50,_500buf-45km
FALSE,2010,04_13_2010,fknms,10day_500buf-45km,4/13/2010,10,_500buf-45km
FALSE,2010,04_13_2010,fknms,30day_500buf-45km,4/13/2010,30,_500buf-45km
FALSE,2010,04_13_2010,fknms,50day_500buf-45km,4/13/2010,50,_500buf-45km
FALSE,2010,07_11_2010,fknms,10day_500buf-45km,7/11/2010,10,_500buf-45km
FALSE,2010,07_11_2010,fknms,30day_500buf-45km,7/11/2010,30,_500buf-45km
FALSE,2010,07_11_2010,fknms,50day_500buf-45km,7/11/2010,50,_500buf-45km
FALSE,2010,10_7_2010,mbnms,10day_500buf-45km,10/7/2010,10,_500buf-45km
FALSE,2010,10_7_2010,mbnms,30day_500buf-45km,10/7/2010,30,_500buf-45km
FALSE,2010,10_7_2010,mbnms,50day_500buf-45km,10/7/2010,50,_500buf-45km
FALSE,2010,01_14_2010,mbnms,10day_500buf-45km,1/14/2010,10,_500buf-45km
FALSE,2010,01_14_2010,mbnms,30day_500buf-45km,1/14/2010,30,_500buf-45km
FALSE,2010,01_14_2010,mbnms,50day_500buf-45km,1/14/2010,50,_500buf-45km
FALSE,2010,04_13_2010,mbnms,10day_500buf-45km,4/13/2010,10,_500buf-45km
FALSE,2010,04_13_2010,mbnms,30day_500buf-45km,4/13/2010,30,_500buf-45km
FALSE,2010,04_13_2010,mbnms,50day_500buf-45km,4/13/2010,50,_500buf-45km
FALSE,2010,07_11_2010,mbnms,10day_500buf-45km,7/11/2010,10,_500buf-45km
FALSE,2010,07_11_2010,mbnms,30day_500buf-45km,7/11/2010,30,_500buf-45km
FALSE,2010,07_11_2010,mbnms,50day_500buf-45km,7/11/2010,50,_500buf-45km
FALSE,2010,10_7_2010,fknms,10day_300buf-27km,10/7/2010,10,_300buf-27km
FALSE,2010,10_7_2010,fknms,30day_300buf-27km,10/7/2010,30,_300buf-27km
FALSE,2010,10_7_2010,fknms,50day_300buf-27km,10/7/2010,50,_300buf-27km
FALSE,2010,01_14_2010,fknms,10day_300buf-27km,1/14/2010,10,_300buf-27km
FALSE,2010,01_14_2010,fknms,30day_300buf-27km,1/14/2010,30,_300buf-27km
FALSE,2010,01_14_2010,fknms,50day_300buf-27km,1/14/2010,50,_300buf-27km
FALSE,2010,04_13_2010,fknms,10day_300buf-27km,4/13/2010,10,_300buf-27km
FALSE,2010,04_13_2010,fknms,30day_300buf-27km,4/13/2010,30,_300buf-27km
TRUE,2010,04_13_2010,fknms,50day_300buf-27km,4/13/2010,50,_300buf-27km
TRUE,2010,07_11_2010,fknms,10day_300buf-27km,7/11/2010,10,_300buf-27km
TRUE,2010,07_11_2010,fknms,30day_300buf-27km,7/11/2010,30,_300buf-27km
TRUE,2010,07_11_2010,fknms,50day_300buf-27km,7/11/2010,50,_300buf-27km
TRUE,2010,10_7_2010,mbnms,10day_300buf-27km,10/7/2010,10,_300buf-27km
TRUE,2010,10_7_2010,mbnms,30day_300buf-27km,10/7/2010,30,_300buf-27km
TRUE,2010,10_7_2010,mbnms,50day_300buf-27km,10/7/2010,50,_300buf-27km
TRUE,2010,01_14_2010,mbnms,10day_300buf-27km,1/14/2010,10,_300buf-27km
TRUE,2010,01_14_2010,mbnms,30day_300buf-27km,1/14/2010,30,_300buf-27km
TRUE,2010,01_14_2010,mbnms,50day_300buf-27km,1/14/2010,50,_300buf-27km
TRUE,2010,04_13_2010,mbnms,10day_300buf-27km,4/13/2010,10,_300buf-27km
TRUE,2010,04_13_2010,mbnms,30day_300buf-27km,4/13/2010,30,_300buf-27km
TRUE,2010,04_13_2010,mbnms,50day_300buf-27km,4/13/2010,50,_300buf-27km
TRUE,2010,07_11_2010,mbnms,10day_300buf-27km,7/11/2010,10,_300buf-27km
TRUE,2010,07_11_2010,mbnms,30day_300buf-27km,7/11/2010,30,_300buf-27km
TRUE,2010,07_11_2010,mbnms,50day_300buf-27km,7/11/2010,50,_300buf-27km
